機構名稱,機構代碼,地址全址,特約服務項目,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
新高雄紅十字會附設私立紅十字居家長照機構,1N1500003,高雄市鳳山區維新路122號10樓,喘息服務,07-7902007,Ksred830@gmail.com,李宗銘,20230101,20240630,20231229 15:25:24
社團法人高雄市樂馨社會福利關懷協會附設高雄市私立樂馨居家式服務類長期照顧服務機構,1R1500003,高雄市三民區鼎泰里鼎和街5號1樓,居家服務,07-3509593,lehsin0801@gmail.com,楊明樺,20240701,20261231,20240626 11:33:24
社團法人高雄市樂馨社會福利關懷協會附設高雄市私立樂馨居家式服務類長期照顧服務機構,1R1500003,高雄市三民區鼎泰里鼎和街5號1樓,喘息服務,07-3509593,lehsin0801@gmail.com,楊明樺,20210401,20240630,20231230 15:17:44
社團法人高雄市樂馨社會福利關懷協會附設高雄市私立樂馨居家式服務類長期照顧服務機構,1R1500003,高雄市三民區鼎泰里鼎和街5號1樓,居家服務,07-3509593,lehsin0801@gmail.com,楊明樺,20230101,20240630,20231218 16:01:01
社團法人台灣福田社會福利發展協會附設高雄市私立福田居家式長期照顧服務機構,1R1500005,高雄市六龜區義寶里平和巷7號,喘息服務,07-6893357,fulltengp@gmail.com,張華庭,20230101,20240630,20231229 16:23:55
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立華仁居家式服務類長期照顧服務機構,1S1500007,高雄市湖內區大湖里長壽路65巷6弄1號,居家服務,07-6932382,hawren6932@gmail.com,高華志,20240701,20261231,20240626 14:37:40
高雄市立凱旋醫院社區式(日間照顧)服務類長期照顧服務機構,2B1500001,高雄市苓雅區奏捷里凱旋二路130號,日間照顧服務,07-7513171#2451,hyliu@kcg.gov.tw,周煌智,20180305,20261231,20240701 11:38:27
社團法人高雄市受恩社區關懷協會私立受恩社區(小規模多機能)長照機構,2R1500003,高雄市三民區鼎金里明誠一路20號,社區式交通接送服務(BD03),07-3494408,stdc@stipendiary.tw,劉庭軒,20180101,20261231,20240701 17:02:39
財團法人高雄市私立萃文書院社會福利慈善事業基金會私立內門社區(小規模多機能)長照機構,2S1500004,高雄市內門區內豊里內埔81之10號3樓,小規模多機能服務,07-6671690,jw1041228@gmail.com,黃碧恭,20180101,20261231,20240701 11:06:16
財團法人高雄市私立萃文書院社會福利慈善事業基金會私立內門社區(小規模多機能)長照機構,2S1500004,高雄市內門區內豊里內埔81之10號3樓,社區式交通接送服務(BD03),07-6671690,jw1041228@gmail.com,黃碧恭,20180101,20261231,20240701 11:06:16
高雄市私立永新老人長期照顧中心(養護型),A11500046,高雄市路竹區文南里中華路436號,喘息服務,07-6961085,6966600@gmail.com,彭雅芬,20240701,20261231,20240624 01:14:02
高雄市私立永新老人長期照顧中心(養護型),A11500046,高雄市路竹區文南里中華路436號,交通接送服務,07-6961085,6966600@gmail.com,彭雅芬,20240701,20261231,20240624 01:14:02
高雄市私立真善美老人長期照顧中心(養護型),A11500057,高雄市鳳山區經武路85之21號,喘息服務,07-7450336,ev8268@yahoo.com.tw,郭亨政,20240701,20261231,20240624 01:21:00
和春護理之家(A),A31500017,高雄市岡山區中山南路268號1-3樓,交通接送服務,07-6265580,hechun.nh@msa.hinet.net,蔡淑賢,20180101,20221231,20220301 11:32:19
社團法人台灣高齡照顧協會私立大寮社區(日間照顧)長照機構,2R1500007,高雄市大寮區中庄里光明路三段1257巷51號2樓,喘息服務,07-7012265,dl.daycare@msa.hinet.net,劉庭軒,20240701,20261231,20240628 16:50:59
社團法人高雄市音律活化健康協會附設高雄市私立音活社區式(日間照顧)服務類長期照顧服務機構,2R1500008,高雄市小港區大苓里高坪二十三路710號,社區式交通接送服務(BD03),07-8915995,s642857515@yahoo.com.tw,劉文禎,20180101,20261231,20240628 16:36:11
財團法人高雄市郭吳麗珠社會福利慈善事業基金會私立五甲社區(小規模多機能)長照機構,2S1500006,高雄市鳳山區福誠里福誠二街168號,小規模多機能服務,07-8113255,wj.daycare@msa.hinet.net,郭光皓,20190101,20240630,20231230 20:29:16
高雄市私立德安養護之家,A11500007,高雄市三民區博愛一路55號11樓,喘息服務,07-3121010,3121010@livemail.tw,李憲宗,20240701,20261231,20240624 01:54:41
高雄市明山慈安居老人養護中心,A11500017,高雄市仁武區考潭里成功路5號,喘息服務,07-3722268,MSCI20210202@gmail.com,張正二,20180101,20231231,20220114 15:42:32
高雄市明山慈安居老人養護中心,A11500017,高雄市仁武區考潭里成功路5號,喘息服務,07-3722268,MSCI20210202@gmail.com,張正二,20220101,20261231,20240703 09:53:39
高雄市私立慈慧老人長期照顧中心（養護型）,A11500040,高雄市湖內區田尾里中山路一段496巷300號,喘息服務,07-6938505,coco2small@yahoo.com.tw,蕭如君,20240701,20261231,20240626 22:43:53
高雄市私立新禾康養護之家,A11500045,高雄市楠梓區仁昌里惠民路210號,喘息服務,07-3644351,3anhekang@gmail.com,康橘,20240701,20261231,20240627 08:36:33
財團法人高雄市私立聖和社會福利慈善事業基金會附設高雄市私立聖和老人長期照顧中心(養護型),A11500047,高雄市路竹區鴨寮里保民路99巷36號,喘息服務,07-6071466,shengho99@yahoo.com.tw,林文雄,20240701,20261231,20240624 21:23:41
慈佑護理之家,A31500023,高雄市林園區沿海路四段72.74號,喘息服務,6436937,tsz_yu@msn.com,唐幼瀾,20180326,20210131,20210105 14:27:29
幸福居家護理所,B11500035,高雄市美濃區中圳里自強街二段130號3-4樓、132號3-4樓,專業照護服務,07-6817720,minohomecare@gmail.com,吳美儀,20240701,20261231,20240615 11:00:58
社團法人高雄市永安社會福利協會附設高雄市私立永安居家式服務類長期照顧服務機構,1R1500004,高雄市大寮區過溪里濃中街22巷17號,喘息服務,07-788-2577,yungancare@gmail.com,陳柏宏,20240701,20261231,20240626 08:25:23
社團法人高雄市永安社會福利協會附設高雄市私立永安居家式服務類長期照顧服務機構,1R1500004,高雄市大寮區過溪里濃中街22巷17號,居家服務,07-788-2577,yungancare@gmail.com,陳柏宏,20230101,20240630,20231218 14:51:27
社團法人高雄市善護關愛協會附設高雄市私立善護居家式服務類長期照顧服務機構,1R1500012,高雄市新興區大明里中正四路53號8樓之1,居家服務,07-2416336,a2416112@yahoo.com.tw,鄭昭儒,20240701,20261231,20240626 08:54:44
社團法人高雄市善護關愛協會附設高雄市私立善護居家式服務類長期照顧服務機構,1R1500012,高雄市新興區大明里中正四路53號8樓之1,喘息服務,07-2416336,a2416112@yahoo.com.tw,鄭昭儒,20240701,20261231,20240626 08:54:44
財團法人高雄市慈聯社會福利基金會附設高雄市私立慈聯居家式服務類長期照顧服務機構,1S1500003,高雄市仁武區灣內里仁雄路42之1號,居家服務,07-3715009,3715009h@gmail.com,蔡嘉賓,20230101,20240630,20231218 16:32:22
有限責任高雄市育成照顧服務勞動合作社附設高雄市私立育成居家式服務類長期照顧服務機構,1T1500004,高雄市左營區新光里政德路647號2樓,居家服務,07-3431115,yu.cheng01@msa.hinet.net,蔡起旭,20230101,20240630,20231218 14:29:14
有限責任高雄市育成照顧服務勞動合作社附設高雄市私立育成居家式服務類長期照顧服務機構,1T1500004,高雄市左營區新光里政德路647號2樓,居家服務,07-3431115,yu.cheng01@msa.hinet.net,蔡起旭,20210401,20221231,20210501 14:33:11
天主教聖功醫療財團法人附設高雄市私立聖功居家式服務類長期照顧服務機構,1U1500002,高雄市苓雅區民主里建國一路352號,喘息服務,07-2238153#2292,society2018@mail.joseph.org.tw,郭果七,20230101,20240630,20231229 15:25:53
社團法人高雄市照顧服務人力協會附設高雄市私立華登人力居家式服務類長期照顧服務機構,1R1500013,高雄市新興區明莊里六合二路1號,居家服務,07-2860023,kcsha111@gmail.com,張儀楹,20230101,20240630,20231219 10:41:13
有限責任高雄市健康照顧服務勞動合作社附設私立健康居家長照機構,1T1500001,高雄市三民區寶珠里正忠路455巷4之2號,居家服務,07-3857346,health2end@gmail.com,陳月春,20230131,20240630,20231219 10:33:11
有限責任高雄市健康照顧服務勞動合作社附設私立健康居家長照機構,1T1500001,高雄市三民區寶珠里正忠路455巷4之2號,喘息服務,07-3857346,health2end@gmail.com,陳月春,20180809,20240630,20231230 17:34:25
有限責任高雄市樹子照顧服務勞動合作社私立樹子居家長照機構,1T1500008,高雄市新興區振華里中山二路472號10樓之7,喘息服務,07-2818800,treeseeda2@gmail.com,王炳宇,20240701,20261231,20240630 14:45:29
高雄市私立健喬居家長照機構,1X1500002,高雄市大寮區會社里鳳林三路373巷8號,喘息服務,07-7827779,zxc7827779@gmail.com,呂淑卿,20240701,20261231,20240627 13:39:18
高雄市私立臨海居家式服務類長期照顧服務機構,1X1500003,高雄市小港區山明里宏光街522號,喘息服務,07-8010408#103,linhaihomecare@gmail.com,邱裕恩,20240701,20261231,20240627 09:43:46
高雄市私立臨海居家式服務類長期照顧服務機構,1X1500003,高雄市小港區山明里宏光街522號,喘息服務,07-8010408#103,linhaihomecare@gmail.com,邱裕恩,20230101,20240630,20231230 16:54:37
